"(18, 19, 17)",25
"(28, 9, 8)",21
"(10, 2, 17)",21
"(10, 11, 14)",21
"(10, 11, 17)",21
"(16, 18, 17)",21
"(10, 11, 8)",21
"(18, 19, 5)",21
"(10, 11, 11)",19
"(18, 19, 14)",19
"(10, 12, 8)",19
"(18, 19, 8)",19
"(12, 19, 17)",19
"(16, 17, 17)",17
"(18, 19, 11)",17
"(10, 2, 8)",17
"(16, 18, 11)",17
"(10, 11, 5)",17
"(14, 18, 14)",15
"(16, 17, 14)",15
"(14, 17, 14)",15
"(14, 17, 17)",15
"(10, 12, 5)",15
"(10, 2, 14)",15
"(10, 13, 14)",15
"(10, 12, 11)",15
"(16, 17, 11)",13
"(14, 19, 17)",13
"(12, 13, 17)",13
"(12, 13, 14)",13
"(10, 2, 11)",13
"(10, 18, 17)",13
"(14, 18, 17)",13
"(12, 18, 17)",13
"(16, 17, 8)",13
"(10, 3, 17)",13
"(10, 13, 17)",13
"(10, 12, 14)",13
"(10, 2, 5)",13
"(10, 12, 17)",13
"(14, 18, 11)",13
"(16, 18, 14)",11
"(14, 13, 11)",11
"(10, 14, 17)",11
"(12, 13, 11)",11
"(12, 13, 5)",11
"(14, 13, 17)",11
"(14, 18, 5)",11
"(10, 3, 8)",11
"(10, 3, 5)",11
"(16, 19, 8)",11
"(10, 13, 5)",11
"(16, 18, 8)",11
"(24, 18, 17)",11
"(14, 18, 8)",11
"(14, 13, 14)",10
"(14, 13, 5)",9
"(14, 13, 8)",9
"(14, 15, 14)",9
"(14, 17, 11)",9
"(10, 14, 14)",9
"(12, 13, 8)",9
"(10, 13, 11)",9
"(10, 7, 17)",9
"(10, 17, 17)",9
"(10, 19, 5)",9
"(24, 18, 14)",9
"(10, 13, 8)",9
"(10, 3, 14)",9
"(10, 4, 17)",9
"(12, 6, 17)",9
"(10, 5, 17)",9
"(24, 18, 11)",9
"(12, 18, 14)",9
"(12, 18, 5)",9
"(12, 19, 11)",9
"(24, 17, 14)",7
"(22, 19, 14)",7
"(16, 2, 17)",7
"(16, 19, 11)",7
"(18, 15, 5)",7
"(16, 18, 5)",7
"(18, 17, 14)",7
"(20, 19, 11)",7
"(24, 19, 11)",7
"(18, 9, 14)",7
"(24, 19, 17)",7
"(28, 9, 5)",7
"(12, 6, 5)",7
"(16, 17, 5)",7
"(14, 5, 5)",7
"(10, 15, 17)",7
"(10, 18, 5)",7
"(10, 18, 8)",7
"(10, 19, 8)",7
"(10, 4, 8)",7
"(10, 6, 17)",7
"(12, 18, 11)",7
"(12, 2, 11)",7
"(12, 2, 14)",7
"(12, 2, 8)",7
"(12, 3, 11)",7
"(26, 19, 17)",7
"(14, 11, 17)",7
"(14, 11, 8)",7
"(14, 15, 17)",7
"(14, 15, 5)",7
"(14, 16, 17)",7
"(14, 2, 11)",7
"(14, 2, 14)",7
"(14, 2, 8)",7
"(14, 5, 11)",7
"(24, 2, 17)",7
"(18, 9, 8)",7
"(28, 15, 8)",7
"(28, 11, 8)",7
"(28, 3, 17)",7
"(28, 14, 17)",7
"(28, 19, 11)",7
"(14, 2, 5)",5
"(14, 19, 8)",5
"(10, 9, 14)",5
"(24, 17, 5)",5
"(24, 17, 17)",5
"(14, 19, 5)",5
"(16, 3, 17)",5
"(24, 19, 14)",5
"(24, 17, 11)",5
"(14, 19, 14)",5
"(12, 10, 11)",5
"(14, 19, 11)",5
"(24, 15, 8)",5
"(24, 18, 5)",5
"(10, 8, 14)",5
"(24, 15, 14)",5
"(10, 8, 11)",5
"(24, 2, 11)",5
"(10, 7, 5)",5
"(24, 2, 5)",5
"(10, 7, 14)",5
"(10, 7, 11)",5
"(14, 5, 14)",5
"(14, 5, 17)",5
"(20, 10, 14)",5
"(20, 10, 11)",5
"(28, 2, 17)",5
"(18, 9, 11)",5
"(18, 8, 5)",5
"(16, 10, 17)",5
"(24, 15, 17)",5
"(20, 2, 5)",5
"(12, 11, 8)",5
"(18, 2, 14)",5
"(22, 19, 11)",5
"(12, 3, 17)",5
"(22, 17, 14)",5
"(22, 2, 5)",5
"(22, 2, 8)",5
"(12, 2, 5)",5
"(12, 4, 17)",5
"(22, 16, 17)",5
"(12, 4, 8)",5
"(12, 19, 5)",5
"(12, 19, 14)",5
"(12, 6, 11)",5
"(12, 18, 8)",5
"(28, 16, 5)",5
"(16, 3, 14)",5
"(12, 9, 11)",5
"(12, 17, 14)",5
"(22, 10, 8)",5
"(12, 16, 14)",5
"(12, 15, 8)",5
"(12, 15, 14)",5
"(14, 11, 11)",5
"(14, 11, 14)",5
"(14, 12, 8)",5
"(24, 10, 11)",5
"(28, 14, 8)",5
"(28, 19, 8)",5
"(14, 15, 8)",5
"(14, 16, 14)",5
"(18, 2, 17)",5
"(12, 3, 14)",5
"(10, 19, 17)",5
"(18, 17, 11)",5
"(16, 11, 8)",5
"(10, 14, 8)",5
"(16, 2, 5)",5
"(10, 18, 11)",5
"(10, 17, 8)",5
"(26, 18, 11)",5
